@relation filmes

@attribute adquiriu {false, true}
@attribute generoFilme {DRAMA, ACAO, FAMILIA, NACIONAIS, TERROR, COMEDIA, ROMANCE, AVENTURA}

@data
true,FAMILIA
false,COMEDIA
true,DRAMA
false,COMEDIA
true,COMEDIA
false,COMEDIA
false,ROMANCE
false,ROMANCE
false,DRAMA
false,FAMILIA
true,ROMANCE
false,ROMANCE
true,ROMANCE
false,ROMANCE
true,AVENTURA
false,DRAMA
true,COMEDIA
false,AVENTURA
true,FAMILIA
true,FAMILIA
false,FAMILIA
false,FAMILIA
true,DRAMA
false,COMEDIA
false,ROMANCE
true,ACAO
true,FAMILIA
true,AVENTURA
false,ACAO
true,ROMANCE
false,COMEDIA
false,FAMILIA
false,ROMANCE
false,DRAMA
false,ROMANCE
false,AVENTURA
true,ROMANCE
true,AVENTURA
true,ROMANCE
false,COMEDIA
true,ACAO
true,DRAMA
true,FAMILIA
true,DRAMA
false,FAMILIA
false,FAMILIA
false,DRAMA
true,DRAMA
false,AVENTURA
true,ACAO
true,COMEDIA
true,FAMILIA
true,ACAO
false,COMEDIA
true,AVENTURA
true,ROMANCE
false,ROMANCE
true,DRAMA
false,COMEDIA
false,DRAMA
false,ACAO
false,AVENTURA
true,COMEDIA
false,DRAMA
false,DRAMA
true,ROMANCE
false,DRAMA
false,DRAMA
true,ACAO
true,DRAMA
false,AVENTURA
true,AVENTURA
false,AVENTURA
false,FAMILIA
false,ACAO
false,ROMANCE
false,DRAMA
false,DRAMA
true,COMEDIA
true,AVENTURA
false,DRAMA
false,COMEDIA
false,ACAO
false,COMEDIA
false,AVENTURA
true,ACAO
false,ROMANCE
true,DRAMA
false,FAMILIA
true,DRAMA
true,COMEDIA
false,ACAO
true,FAMILIA
false,ACAO
false,COMEDIA
true,FAMILIA
true,COMEDIA
false,FAMILIA
true,FAMILIA
true,DRAMA
true,AVENTURA
true,DRAMA
true,ROMANCE
true,FAMILIA
true,FAMILIA
false,DRAMA
false,DRAMA
true,COMEDIA
false,AVENTURA
true,AVENTURA
true,FAMILIA
false,ACAO
true,AVENTURA
true,COMEDIA
false,FAMILIA
false,DRAMA
true,FAMILIA
true,FAMILIA
false,FAMILIA
false,ROMANCE
true,FAMILIA
false,DRAMA
true,ROMANCE
true,FAMILIA
true,AVENTURA
true,FAMILIA
false,AVENTURA
false,DRAMA
false,COMEDIA
true,AVENTURA
true,FAMILIA
true,DRAMA
true,FAMILIA
false,ROMANCE
false,ACAO
true,ACAO
false,AVENTURA
true,AVENTURA
false,FAMILIA
true,DRAMA
true,ACAO
false,ROMANCE
false,COMEDIA
true,COMEDIA
true,FAMILIA
false,FAMILIA
true,DRAMA
true,AVENTURA
true,ACAO
false,DRAMA
false,DRAMA
false,AVENTURA
true,COMEDIA
false,AVENTURA
true,AVENTURA
false,AVENTURA
true,FAMILIA
false,ROMANCE
true,ACAO
true,ACAO
true,ACAO
true,AVENTURA
false,AVENTURA
false,ACAO
true,COMEDIA
true,AVENTURA
true,COMEDIA
false,COMEDIA
true,ACAO
true,COMEDIA
false,ROMANCE
false,ACAO
true,AVENTURA
true,AVENTURA
true,COMEDIA
false,FAMILIA
true,ROMANCE
true,DRAMA
true,AVENTURA
true,DRAMA
false,FAMILIA
false,AVENTURA
true,ROMANCE
true,ACAO
true,DRAMA
false,ROMANCE
true,ROMANCE
true,COMEDIA
true,AVENTURA
false,ROMANCE
true,COMEDIA
false,ACAO
true,ACAO
false,COMEDIA
false,AVENTURA
false,FAMILIA
true,COMEDIA
true,COMEDIA
true,COMEDIA
true,ROMANCE
