@relation filmes

@attribute adquiriu {false, true}
@attribute generoFilme {DRAMA, ACAO, FAMILIA, NACIONAIS, TERROR, COMEDIA, ROMANCE, AVENTURA}

@data
true,FAMILIA
false,ACAO
false,COMEDIA
true,ACAO
false,ACAO
false,COMEDIA
true,ACAO
false,NACIONAIS
false,AVENTURA
false,NACIONAIS
true,AVENTURA
false,NACIONAIS
false,FAMILIA
false,AVENTURA
false,FAMILIA
true,ACAO
false,COMEDIA
false,FAMILIA
true,DRAMA
true,NACIONAIS
true,DRAMA
false,NACIONAIS
false,COMEDIA
true,FAMILIA
false,NACIONAIS
true,FAMILIA
false,NACIONAIS
false,COMEDIA
true,NACIONAIS
false,FAMILIA
true,AVENTURA
false,NACIONAIS
false,ACAO
false,DRAMA
true,COMEDIA
false,DRAMA
false,NACIONAIS
true,AVENTURA
true,ACAO
false,NACIONAIS
true,DRAMA
true,NACIONAIS
true,AVENTURA
false,AVENTURA
true,NACIONAIS
false,DRAMA
false,ACAO
false,AVENTURA
false,NACIONAIS
true,FAMILIA
false,ACAO
true,AVENTURA
false,FAMILIA
true,ACAO
false,COMEDIA
true,DRAMA
false,NACIONAIS
true,COMEDIA
true,AVENTURA
true,FAMILIA
false,COMEDIA
false,AVENTURA
false,DRAMA
true,DRAMA
true,NACIONAIS
true,DRAMA
false,DRAMA
true,NACIONAIS
true,AVENTURA
true,FAMILIA
false,COMEDIA
false,AVENTURA
false,FAMILIA
false,DRAMA
true,FAMILIA
true,FAMILIA
false,FAMILIA
true,NACIONAIS
false,COMEDIA
true,ACAO
false,COMEDIA
true,ACAO
false,COMEDIA
false,ACAO
true,DRAMA
false,COMEDIA
false,FAMILIA
false,COMEDIA
false,DRAMA
true,AVENTURA
false,DRAMA
true,COMEDIA
false,AVENTURA
false,AVENTURA
true,AVENTURA
true,ACAO
true,FAMILIA
true,AVENTURA
true,DRAMA
false,DRAMA
false,FAMILIA
false,COMEDIA
true,DRAMA
false,COMEDIA
true,FAMILIA
false,COMEDIA
true,NACIONAIS
false,COMEDIA
true,COMEDIA
true,DRAMA
true,FAMILIA
true,ACAO
true,NACIONAIS
false,NACIONAIS
false,NACIONAIS
false,ACAO
true,NACIONAIS
true,FAMILIA
true,AVENTURA
false,FAMILIA
false,NACIONAIS
true,ACAO
true,AVENTURA
true,AVENTURA
true,FAMILIA
true,COMEDIA
false,DRAMA
true,COMEDIA
true,FAMILIA
false,DRAMA
true,FAMILIA
false,FAMILIA
false,COMEDIA
false,FAMILIA
true,ACAO
true,ACAO
false,FAMILIA
false,NACIONAIS
false,ACAO
true,ACAO
true,AVENTURA
true,ACAO
true,DRAMA
false,NACIONAIS
true,DRAMA
true,COMEDIA
false,NACIONAIS
false,FAMILIA
true,ACAO
true,NACIONAIS
false,COMEDIA
false,ACAO
true,DRAMA
true,NACIONAIS
false,DRAMA
true,COMEDIA
true,AVENTURA
false,FAMILIA
true,DRAMA
true,DRAMA
false,DRAMA
false,COMEDIA
true,AVENTURA
true,AVENTURA
false,NACIONAIS
false,COMEDIA
true,AVENTURA
false,COMEDIA
true,DRAMA
true,FAMILIA
false,NACIONAIS
true,FAMILIA
true,AVENTURA
false,FAMILIA
true,ACAO
false,NACIONAIS
false,NACIONAIS
false,NACIONAIS
false,AVENTURA
true,NACIONAIS
false,ACAO
false,FAMILIA
true,DRAMA
true,NACIONAIS
false,FAMILIA
true,DRAMA
true,DRAMA
true,ACAO
true,FAMILIA
false,DRAMA
false,DRAMA
true,ACAO
true,DRAMA
false,NACIONAIS
false,NACIONAIS
false,ACAO
false,DRAMA
false,FAMILIA
true,ACAO
true,DRAMA
